 Time,human,robot
Sun Jul 24 17:51:53 2016,hello,
Sun Jul 24 17:51:58 2016,how are you,
Sun Jul 24 17:51:59 2016,,"I'm always   feeling good   , thank you ! And you , How goes it  ?"
Sun Jul 24 17:52:07 2016,,Sure
Sun Jul 24 17:52:04 2016,please call Stella,
